timestamp,CH,CZ,DK,EE
2015-01-01T00:00:00Z,13.6,28.5,1487.8,46.5
2015-01-01T01:00:00Z,14.1,26.9,1448.4,46.1
2015-01-01T02:00:00Z,12.8,42.4,1549.4,51.1
2015-01-01T03:00:00Z,13.7,55.5,1709.8,56.1
2015-01-01T04:00:00Z,10.1,56.5,2078.3,52.9
2015-01-01T05:00:00Z,12.2,58.7,2243.7,68.2
2015-01-01T06:00:00Z,16.9,60.3,2415.9,79.5
2015-01-01T07:00:00Z,13.8,59.3,2597.4,82.3
2015-01-01T08:00:00Z,9.6,68.3,2717.6,90.3
2015-01-01T09:00:00Z,4.6,70.6,2770.2,110.1
